date;temperature;precipitation;humidity;evaporation;GTK
2021-04-18;3.4;0.0;51.25;2.359;
2021-04-19;-3.362;0.7;60.875;1.099;
2021-04-20;-4.512;0.0;44.375;1.401;
2021-04-21;-1.875;3.0;65.75;1.099;
2021-04-22;1.362;0.0;49.375;2.111;
2021-04-23;5.488;0.0;28.5;3.988;
2021-04-24;6.888;0.0;24.875;4.583;
2021-04-25;7.8;0.0;28.5;4.615;
2021-04-26;10.488;0.0;27.875;5.45;0.0
2021-04-27;11.15;0.1;54.5;3.568;0.09
2021-04-28;10.612;6.0;77.75;1.693;5.654
2021-04-29;10.7;0.0;57.875;3.221;0.0
2021-04-30;11.525;0.0;43.375;4.533;0.0
2021-05-01;6.912;14.0;58.625;2.447;
2021-05-02;7.25;0.0;53.0;2.838;
2021-05-03;12.825;0.0;33.5;5.524;0.0
2021-05-04;10.425;3.0;51.0;3.57;2.878
2021-05-05;13.012;0.0;32.625;5.653;0.0
2021-05-06;19.775;0.0;24.0;8.847;0.0
2021-05-07;16.638;0.0;34.0;6.644;0.0
2021-05-08;15.388;0.0;34.75;6.18;0.0
2021-05-09;10.912;0.0;36.875;4.727;0.0
2021-05-10;13.487;0.0;33.0;5.763;0.0
2021-05-11;16.538;0.0;24.25;7.589;0.0
2021-05-12;17.488;0.0;25.375;7.822;0.0
2021-05-13;14.512;0.0;44.875;4.997;0.0
2021-05-14;13.8;0.0;47.875;4.556;0.0
2021-05-15;18.438;0.0;31.25;7.532;0.0
2021-05-16;18.788;0.5;58.5;4.62;0.266
2021-05-17;17.3;0.0;64.875;3.649;0.0
2021-05-18;17.8;5.0;67.75;3.43;2.809
2021-05-19;13.038;1.4;54.625;3.812;1.074
2021-05-20;6.425;0.0;45.625;3.118;
2021-05-21;7.587;0.0;40.5;3.669;
2021-05-22;12.338;7.0;69.5;2.469;5.674
2021-05-23;21.638;0.0;55.5;5.62;0.0
2021-05-24;21.288;2.0;50.25;6.189;0.94
2021-05-25;21.588;0.0;45.625;6.852;0.0
2021-05-26;23.988;0.0;47.875;7.263;0.0
2021-05-27;21.838;0.9;45.625;6.926;0.412
2021-05-28;10.05;0.0;46.625;3.807;0.0
2021-05-29;13.238;0.0;46.125;4.574;0.0
2021-05-30;17.225;0.0;49.25;5.254;0.0
2021-05-31;21.8;0.0;47.5;6.677;0.0
2021-06-01;23.0;0.0;35.125;8.968;0.0
2021-06-02;22.512;0.0;46.0;7.314;0.0
2021-06-03;18.45;0.0;51.875;5.451;0.0
2021-06-04;14.512;2.0;62.25;3.536;1.378
2021-06-05;12.562;20.3;59.0;3.471;16.159
2021-06-06;18.038;2.0;50.625;5.487;1.109
2021-06-07;20.7;0.0;37.5;7.832;0.0
2021-06-08;21.2;0.0;42.25;7.396;0.0
2021-06-09;12.212;0.0;45.75;4.507;0.0
2021-06-10;12.738;0.0;38.25;5.276;0.0
2021-06-11;13.438;0.0;37.125;5.574;0.0
