station_id,country,region,Name,Name2,lat,lon,elevation,year,Tem1,Tem2,Tem3,Tem4,Tem5,Tem6,Tem7,Tem8,Tem9,Tem10,Tem11,Tem12,Os1,Os2,Os3,Os4,Os5,Os6,Os7,Os8,Os9,Os10,Os11,Os12
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1951,7.6,8.0,10.2,14.0,18.2,21.1,24.0,24.8,21.4,13.9,12.3,5.7,91.0,69.0,105.0,40.0,35.0,16.0,12.0,48.0,11.0,69.0,95.0,62.0
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1952,7.0,6.9,7.9,12.2,15.7,20.1,22.8,25.2,23.2,16.8,13.0,11.0,101.0,95.0,59.0,2.0,16.0,72.0,0.0,,24.0,105.0,111.0,113.0
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1953,7.4,7.0,4.5,11.8,15.4,21.1,23.8,24.0,20.2,16.2,8.5,3.7,135.0,127.0,86.0,32.0,59.0,80.0,,0.9,19.0,139.0,13.0,36.0
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1954,1.4,2.7,7.8,9.9,17.1,22.9,24.6,24.9,22.6,16.4,11.9,7.6,131.0,73.0,55.0,41.0,47.0,4.0,,0.3,29.0,40.0,68.0,104.0
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1955,9.0,11.2,8.9,9.8,16.6,20.4,24.2,23.0,21.3,18.9,11.0,8.5,79.0,106.0,48.0,72.0,2.0,3.0,20.0,36.0,16.0,101.0,359.0,60.0
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1956,6.8,4.6,4.6,12.8,16.2,20.6,23.6,24.7,19.8,14.8,10.1,5.9,120.0,142.0,63.0,26.0,28.0,44.0,0.0,0.3,12.0,21.0,95.0,55.0
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1957,4.4,7.7,6.7,11.3,15.5,21.3,23.7,25.0,22.7,17.7,11.7,6.6,40.0,32.0,62.0,33.0,73.0,2.0,5.0,0.0,15.0,11.0,71.0,112.0
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1958,5.9,9.3,8.2,11.8,18.2,21.3,23.5,23.9,19.0,14.8,11.5,9.2,124.0,35.0,118.0,39.0,27.0,13.0,0.9,2.0,84.0,108.0,25.0,91.0
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1959,6.5,3.2,6.6,12.3,15.5,19.9,23.8,24.0,17.8,12.8,10.2,9.5,165.0,46.0,42.0,13.0,45.0,21.0,68.0,0.0,28.0,46.0,105.0,95.0
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1960,7.2,6.2,7.4,10.7,16.1,19.8,22.6,23.3,19.6,18.9,13.5,11.7,93.0,83.0,72.0,59.0,56.0,109.0,3.0,3.0,25.0,32.0,50.0,124.0
